岗位名词,岗位类别,招聘人数,经验要求,学历要求,平均月薪（万）,薪资下限（万/月）,薪资上限（万/月）,岗位描述,城市,区,招聘单位,单位类别,企业规模,所属行业,备注一,备注二
中国节能协会绿色低碳金融产业委员会机构部主任,全职,1,5-10年,本科,1.9,1.3,2.5,"职位描述政府公关咨询方案电力/水利/热力/燃气环保社团/组织/社会保障一、岗位职责
1.负责与中央和地方政府、国外机构开展交流与合作；
2.承担国家、地方政府、园区和企业课题和委托工作；
3.为地方政府绿色发展提供咨询服务和整体解决方案；
4.策划与政府机构合作的各类活动，并组织实施；
5.承担政府资助和社会捐助工作；
6.负责与机构签订战略合作协议，发展机构会员。
二、任职要求
1. 8年以上大型知名企业政府公关工作经验，5年以上相关行业政府事务相关经验；
2.有大型活动的组织策划能力；
3.有过高层领导政府事务专业助理工作经验。
 
职位福利：五险一金、餐补、加班补助、交通补助、通讯补助、带薪年假、定期体检、绩效奖金",北京,西城,国发节能环保发展集团有限公司,股份制企业,20-99人,环保,咨询方案,
中国节能协会绿色低碳金融产业委员会产融对接部主任,全职,1,5-10年,本科,1.9,1.3,2.5,"职位描述产业链资源整合、展会、论坛电力/水利/热力/燃气环保社团/组织/社会保障岗位职责：  
1.负责产业链资源整合和对接服务；
  
2.负责举办展览会、论坛和综合性会议，搭建行业企业交流对接平台；
  
3.负责组织实施绿色技术、项目、市场、资金等对接活动；
  
4.策划并组织实施国际交流活动；
  
5.引进国际先进绿色低碳技术、管理经验与商务模式；
  
6.负责组织各类招商活动。
  
任职要求：
  
1. 8年以上相关行业大型知名企业市场工作经验，5年以上市场开发相关经验；
  
2.有大型活动的组织策划能力和项目管理能力。；
  
3.文字功底扎实，擅长会议活动及各类企划文案写作；
  
  
4.有一定的产业链资源整合能力。
 
职位福利：五险一金、餐补、加班补助、交通补助、通讯补助、带薪年假、定期体检、绩效奖金",北京,西城,国发节能环保发展集团有限公司,股份制企业,20-99人,环保,,
绿色金融项目申报专员,全职,1,1-3年,本科,0.6,0.4,0.8,"职位描述政府申报项目科技申报项目节能环保投资/融资咨询服务职位描述：https://www.hbjianhuan.cn
掌握国家科技金融、绿色金融、数字化金融等政策，负责对企业或公共机构新建或改造项目，进行科技项目、节能环保项目、能源数字化项目等立项、申报和审批，包括资料收集整理、申报书撰写、审核反馈跟进等相关工作等咨询服务工作。
职位要求：
1.本科及以上学历，两年以上相关发改、工信、科技资金申报项目经验，有发改口“两重”“两新”项目或节能评价经历者优先；
2.对工业企业或公共机构用能工艺技术有一定了解，学习理解、逻辑思维能力强；
3.工作认真勤奋、细心耐心，责任心强，具有良好的学习能力和团队合作精神；",石家庄,裕华,河北建环能源科技有限公司,民营,20-99人,电力/水利/热力/燃气,科技申报项目,
绿色金融/ESG分析师（应届生）,全职,1,1-3年,硕士,0.8,0.7,0.9,"职位描述绿色金融ESG环保环保任职要求：
1.工作经验不限，应届生亦可。
2.研究生及以上学历，环境、金融、管理等相关专业；
3.熟悉国际国内绿色金融或ESG政策标准要求，有绿色金融或ESG报告相关咨询工作经验者优先；
4.工作热情高、责任心强，勇于承受工作压力，能适应经常性出差。
岗位职责：
1. 负责公司绿色金融或ESG咨询业务执行和相关课题研究；
2. 配合客户市场开拓和业务营销工作；
3. 开展绿色金融或ESG报告咨询等项目实施。
  
职位福利：节日福利、周末双休、五险一金、交通补助、餐补、通讯补助、采暖补贴、员工旅游",太原,小店,联合赤道环境评价股份有限公司,民营,300-499人,环保,ESG,环保
绿色金融市场经理,全职,1,1-3年,硕士,1.1,0.9,1.3,"职位描述绿色金融市场营销可持续发展任职要求：
1.研究生及以上学历，金融、环境、能源、可持续发展等相关专业；
2.具有较强的沟通协调能力和市场开拓意识，具备较强的信息收集和分析能力；
3.工作热情高、责任心强，勇于承受工作压力，能适应经常性出差；
4.绿色金融相关领域一年以上工作经验。
岗位职责：
1. 负责公司双碳、绿色金融及ESG等项目的渠道开发与维护，与潜在合作伙伴建立长期稳定的合作关系；
2 .针对客户的需求，提供定制化的解决方案，提升客户满意度；
3. 对项目的执行进行跟踪，确保项目目标的达成。",太原,小店,联合赤道环境评价股份有限公司,民营,300-499人,环保,市场营销,可持续发展
ESG分析师,全职,2,1年以下,硕士,0.8,0.7,0.9,"职位描述ESG低碳环保市场开发绿色金融任职要求：
1.研究生及以上学历，环境、金融、能源等相关专业；
2.熟悉国际国内ESG政策标准要求，有ESG领域相关工作经验；
3.工作热情高、责任心强，勇于承受工作压力，能适应经常性出差。
岗位职责：
1.负责公司绿色金融或ESG咨询业务执行和相关课题研究；
2.配合客户市场开拓和业务营销工作；
3. 开展绿色金融或ESG报告咨询等项目实施。",太原,小店,联合赤道环境评价股份有限公司,民营,300-499人,环保,低碳,环保市场开发
总经理助理(业务总监-技术),全职,1,3-5年,硕士,1.5,1,2,"职位描述绿色金融碳ESG任职要求：
1.研究生及以上学历，市场营销、环境、金融、能源等相关专业；
2.具备扎实的绿色金融理论知识，熟悉双碳、绿色金融及ESG方面的业务流程及操作方法；
3.具备较强的责任心和抗压能力，能够适应出差及较快的工作节奏
4.具有三年以上绿色金融领域的工作经验，熟悉绿色金融政策与投资市场，掌握行业市场相关动态和客户需求；
5.具备较强的市场洞察和分析能力，能独立制定并执行市场策略；
6.具备良好的沟通能力和团队协作能力，能够与客户、合作伙伴及团队成员有效沟通；
7.有绿色金融相关资格证书及职称者优先录用。
岗位职责：
1. 深入研究绿色金融市场发展趋势、政策动向及市场需求，为公司制定市场策略提供决策支持；
2. 负责公司双碳、绿色金融及ESG等项目的渠道开发与维护，与潜在合作伙伴建立长期稳定的合作关系；
3. 针对客户的需求，提供定制化的解决方案，提升客户满意度。
4. 独立负责项目，协调内外关系，跟进项目进展，确保项目目标高效达成。",太原,小店,联合赤道环境评价股份有限公司,民营,300-499人,环保,碳,ESG
总经理助理(业务总监),全职,1,3-5年,硕士,1.5,1,2,"职位描述绿色金融市场碳任职要求：
1.研究生及以上学历，市场营销、环境、金融、能源等相关专业；
2.具备扎实的绿色金融理论知识，熟悉双碳、绿色金融及ESG方面的业务流程及操作方法；
3.具备较强的责任心和抗压能力，能够适应出差及较快的工作节奏
4.具有三年以上绿色金融领域的工作经验，熟悉绿色金融政策与投资市场，掌握行业市场相关动态和客户需求；
5.具备较强的市场洞察和分析能力，能独立制定并执行市场策略。
6.具备良好的沟通能力和团队协作能力，能够与客户、合作伙伴及团队成员有效沟通；
岗位职责：
1. 深入研究绿色金融市场发展趋势、政策动向及市场需求，为公司制定市场策略提供决策支持；
2. 负责公司双碳、绿色金融及ESG等项目的渠道开发与维护，与潜在合作伙伴建立长期稳定的合作关系；
3. 针对客户的需求，提供定制化的解决方案，提升客户满意度。
4. 独立负责项目，协调内外关系，跟进项目进展，确保项目目标高效达成。",太原,小店,联合赤道环境评价股份有限公司,民营,300-499人,环保,市场,碳
市场经理-绿色金融ESG方向,全职,1,1-3年,本科,1.45,1.1,1.8,"职位描述绿色金融ESG上市公司服务岗位职责： 
1.负责上市公司、企业、金融机构和地方政府的绿色金融业务和ESG业务的拓展; 
2.负责客户的商业洽谈; 
3.负责标书及服务方案的制作; 
4.完成领导分配的其他任务。 
任职要求： 
1.有一定文字基础，逻辑分析和研究能力强； 
2.思维清晰，条理性强，能够主动的学习新技术，具备较强的创新能力； 
3.能够承受较强的工作压力； 
工作经验不限，有绿色金融、ESG、上市公司、评级机构、证券公司、银行投行部、保险资管及银行理财、责任投资等市场工作经验优先。",济南,市中,中诚信国际信用评级有限责任公司,合资,500-999人,证券/期货,,
产品销售岗（绿色金融方向）,全职,1,1-3年,本科,1.05,0.8,1.3,"职位描述1.岗位职责：
(1)负责开展重点绿色信贷的营销，协助分行完成绿色项目贷款落地；
(2)负责分行绿色信贷业务推动，制定全行绿色信贷营销计划并组织实施，统筹行内资源为重点绿色信贷客户设计综合服务方案；
(3)统筹策划和举办各类绿色信贷业务营销活动，推广我行绿色信贷产品及品牌。
（4）负责绿色金融口径认证、绿色金融统计与报送。  2.招聘要求：  
(1)年龄在40周岁（含）以下，本科及以上学历，包括但不限于经济、金融类、环境科学类、新能源类相关专业；  
(2)从事银行金融机构或节能环保、清洁能源、绿色交通等相关领域工作1-3年及以上，有独立申报项目贷款的经验，具备公司金融尤其是绿色金融管理经验；  
(3)具有扎实的金融理论基础，了解绿色金融相关法律法规和监管要求、政策要求，熟悉行内外各类绿色金融产品。",三明,三元区,厦门银行,上市公司,1000-9999人,银行,,
区域负责人（绿色金融方向，只面向金融行业）,全职,1,5-10年,大专,4.5,3.5,5.5,"职位描述团队管理了解碳交易财富任职要求：
行业经验：5年以上财富管理、证券或银行领域从业背景，3年以上团队管理经验，具备从0到1组建团队的成功案例；
资源能力：拥有成熟团队及客户资源，业绩突出者可放宽年限限制；
统筹能力：区域负责人需独立规划区域业务，高效整合资源，总部提供系统性培训及标准化物料支持；
业务敏锐度：熟悉金融产品市场，对碳资产、绿色金融或低碳转型领域有认知者优先。
岗位职责：
团队搭建：根据公司战略，快速组建并扩容属地化团队，搭建销售、培训及管理体系，确保团队持续造血能力；
目标落地：分解总部业绩指标至区域团队，制定属地化业务开拓方案，带领团队完成季度/年度目标；
业务创新：结合区域市场特点，策划营销活动（如碳中和投资沙龙、企业碳资产管理讲座等），挖掘客户需求并推动碳交易、绿色金融产品落地；
协同反馈：收集团队及客户对产品、服务的优化建议，联动总部研发部门迭代解决方案，提升区域市场竞争力。
职业价值：
深度参与公司绿色金融战略布局，共享千亿级碳市场发展红利；
总部赋能“产品+培训+品牌”支持，开放内部晋升通道及业绩超额激励；
面向金融行业精英提供广阔的职业发展平台，助力个人资源变现及行业影响力提升。
其实就是以碳资产收益权买入返售的形式向客户销售碳汇",厦门,思明,福州饼饼企业管理咨询有限公司,民营,20人以下,咨询服务,了解碳交易,
总行公司业务管理部——产品经营岗（绿色金融方向）,全职,2,5-10年,本科,2.25,1.5,3,"职位描述银行1.岗位职责：
(1)协助辖内分行开展重点绿色信贷（主要为项目贷款）的营销，协助分行完成绿色项目贷款的调查报告；
(2)负责全行绿色信贷业务推动，制定全行绿色信贷营销计划并组织实施，统筹行内资源为重点绿色信贷客户设计综合服务方案；
(3)建立与绿色相关局委办、行业商协会、产业园区等沟通机制，完善我行绿色金融相关渠道建设工作；
(4)统筹策划和举办各类绿色信贷业务营销活动，推广我行绿色信贷产品及品牌。
2.招聘要求
(1)基本要求：40周岁及以下，思想素质好，遵纪守法，无违规违纪行为记录，身体健康;
(2)学历及专业：本科及以上学位，专业不限;
(3)从业经验及资历：从事银行公司金融相关工作3年以上，有独立申报项目贷款的经验，具备公司金融尤其是绿色金融营销经验，拥有一定绿色产业、绿色相关客户资源。
(4)专业能力及素质要求
①具有扎实的金融理论基础，了解绿色金融相关法律法规和监管要求、政策要求，熟悉行内外各类绿色金融产品;
②具有较强的逻辑思维能力、抗压能力、分析能力和沟通协调能力。",厦门,思明,厦门银行,上市公司,1000-9999人,银行,,
市场经理-绿色金融ESG方向-浙江区域,全职,1,1-3年,本科,1.45,1.1,1.8,"职位描述市场营销ESG上市公司服务咨询服务岗位职责：
1. 负责地方政府、金融机构及上市公司等的绿色金融与ESG业务拓展，
2. 拓展和维护客户关系，确保与客户沟通的顺畅以及服务质量；
3. 建立和维护与行业伙伴的合作关系；
4. 与行业内以及区域内的利益相关方保持良好沟通；
5. 参与公司的市场和品牌推广活动，与团队共同开发新产品
任职要求：
1、本科及以上学历，专业不限，金融、环境或可持续发展、金融相关领域优先；
2、对绿色金融与责任投资有浓厚兴趣并有所关注，熟悉和了解相关国际倡议标准（如UNEP FI、PRI、赤道原则）、国内相关政策以及相关议题（如ESG、气候变化）优先；
3、有1-3年相关工作经验，在可持续发展领域开展主题研究或咨询经验优先；
4、优秀的研究、分析和快速学习能力；
5、对绿色金融与责任投资有浓厚兴趣并有所关注，熟悉和了解相关国际倡议标准（如UNEP FI、PRI、赤道原则）、国内相关政策以及相关议题（如ESG、气候变化）优先；
6、良好的沟通能力和团队协作能力；
7、专注细节，能同时处理多个项目；
8、 出色的中英文报告写作和表达能力为加分项。",杭州,滨江,中诚信国际信用评级有限责任公司,合资,500-999人,证券/期货,ESG,上市公司服务
绿色金融专员,全职,1,1年以下,本科,0.6,0.5,0.7,"职位描述企业融资产品股权融资产品债权融资产品投资/融资岗位职责： 1、性别要求： ；2、年龄：35以下；3、学历：本科及以上；4、专业要求：金融、经济、环境科学，可持续发展相关领域。 
5、经验要求： 有银行信贷、项目融资、基金管理、绿色金融、金融策划、基建项目投融资、国际金融组织贷款等相关经验者优先；6、其他要求：熟悉全国经济形势、国内外气候领域动态、政策风向及发展方向，对碳金融、气候变化和可持续发展领域有浓厚兴趣。 
 岗位要求： 1、参与政府与企业双碳、气候投融资、绿色金融相关咨询服务工作，参与市场调研与方案架构设计，推进项目执行并对外汇报。 
2、推动气候投融资项目库和企业库建设工作，推动项目、企业与资本的对接。 
3、关注碳金融、气候变化等相关领域的最新动态，及时为团队提供市场情报和分析，支持项目决策。 
4、参与绿色金融与气候投融资相关的知识传播、对外培训、活动宣传等工作。 
5、工作高度认真负责，有很强的沟通协调能力，有良好的职业操守。",武汉,武昌,武汉首义人才服务有限责任公司,国企,300-499人,人力资源服务,股权融资产品,债权融资产品
金融咨询项目经理,全职,5,3-5年,本科,1.75,1.5,2,"职位描述债券基金申报金融策划融资咨询绿色金融咨询服务 岗位职责：1、充分理解客户需求，能够带团队或独立负责项目融资咨，包括项目策划、项目尽调、需求分析、财务分析等；
2、为地方政府部门及各类企业提供金融顾问服务、融资咨询、金融策划、债券基金申报等有关服务；
3、及时了解金融政策，及时进行项目总结及复盘，参与产品链拓展、业务创新工作；协助客户维系、市场推广、品牌宣传等工作；
4、能够准确把握客户需求和痛点，具备较强的沟通、协调和项目汇报能力。
5、完成上级安排的其他工作等。 
 岗位要求： 1、本科及以上学历，投资学、会计、金融、经济或咨询相关专业； 
2、2年以上工作经验，拥有在咨询机构、银行、投资机构或证券公司等任一相关工作经历优先； 
3、在工程经济领域的金融、经济、法律或工程技术等方面具备一项专长，具有CFA/CPA/咨询工程师（投资）/税务师/中高级技术职称（经济系列、会计系列）/银行从业资格证等任一证书优先； 
4、悉银行信贷/项目融资/基金管理/绿色金融/金融策划/基建项目投融资/国际金融组织贷款等任一领域的相关流程及政策要求； 
5、良好的团队协作能力及思维逻辑能力，兼具较好的写作和沟通能力； 
6、能适应出差。",武汉,武昌,湖北永业行评估咨询有限公司,股份制企业,1000-9999人,咨询服务,金融策划,融资咨询
绿色金融专员,全职,1,1年以下,本科,0.7,0.6,0.8,"职位描述环保学术/科研专业技术服务 工作职责：1、参与政府与企业双碳、气候投融资、绿色金融相关咨询服务工作，参与市场调研与方案架构设计，推进项目执行并对外汇报。
2、推动气候投融资项目库和企业库建设工作，推动项目、企业与资本的对接。
3、关注碳金融、气候变化等相关领域的最新动态，及时为团队提供市场情报和分析，支持项目决策。
4、参与绿色金融与气候投融资相关的知识传播、对外培训、活动宣传等工作。
5、工作高度认真负责，有很强的沟通协调能力，有良好的职业操守。 任职要求： 1、本科及以上学历； 2、金融、经济、环境科学相关专业或过往有可持续发展相关领域经验。 3、 有银行信贷、项目融资、基金管理、绿色金融、金融策划、基建项目投融资、国际金融组织贷款等相关经验者优先； 4、熟悉全国经济形势、国内外气候领域动态、政策风向及发展方向，对碳金融、气候变化和可持续发展领域有浓厚兴趣。",武汉,武昌,武汉首义人才服务有限责任公司,国企,300-499人,人力资源服务,,
绿色金融专员,全职,1,1年以下,本科,0.6,0.5,0.7,"职位描述企业融资产品环保任职资格： 1、性别要求： ； 2、学历：本科及以上； 3、专业要求：金融、经济、环境科学，可持续发展相关领域。 
4、经验要求： 有银行信贷、项目融资、基金管理、绿色金融、金融策划、基建项目投融资、国际金融组织贷款等相关经验者优先； 5、其他要求：熟悉全国经济形势、国内外气候领域动态、政策风向及发展方向，对碳金融、气候变化和可持续发展领域有浓厚兴趣。 
 工作职责： 
 1、参与政府与企业双碳、气候投融资、绿色金融相关咨询服务工作，参与市场调研与方案架构设计，推进项目执行并对外汇报。 
2、推动气候投融资项目库和企业库建设工作，推动项目、企业与资本的对接。 
3、关注碳金融、气候变化等相关领域的最新动态，及时为团队提供市场情报和分析，支持项目决策。 
4、参与绿色金融与气候投融资相关的知识传播、对外培训、活动宣传等工作。 
5、工作高度认真负责，有很强的沟通协调能力，有良好的职业操守。",武汉,武昌,武汉首义人才服务有限责任公司,国企,300-499人,人力资源服务,,
绿色金融市场经理,全职,1,1-3年,硕士,1.25,1,1.5,"职位描述市场推广ESG低碳环保绿色金融任职要求：
1.研究生及以上学历，市场营销、金融、环境、能源等相关专业；
2.具有较强的沟通协调能力和市场开拓意识，具备较强的信息收集和分析能力；
3.工作热情高、责任心强，勇于承受工作压力，能适应经常性出差。
4.绿色金融相关领域一年以上工作经验
岗位职责：
1. 负责公司双碳、绿色金融及ESG等项目的渠道开发与维护，与潜在合作伙伴建立长期稳定的合作关系；
2 .针对客户的需求，提供定制化的解决方案，提升客户满意度。
3. 对项目的执行进行跟踪，确保项目目标的达成。
工作地点：上海、天津",南京,秦淮,联合赤道环境评价股份有限公司,民营,300-499人,环保,ESG,低碳环保
